JD,Bmag,Berr,Jmag,Jerr
2454501.81755,null,null,14.883,0.021
2454537.77108,null,null,14.302,0.016
2454603.70459,17.24,0.011,14.646,0.024
2454640.56042,17.262,0.006,15.22,0.03
2454662.63167,17.09,0.011,14.895,0.026
2454677.63073,17.223,0.021,null,null
2454682.59854,17.329,0.022,null,null
2454685.58869,17.319,0.025,null,null
2454689.5953,17.384,0.12,null,null
2454698.57538,17.289,0.029,15.561,0.024
2454700.49023,17.277,0.021,15.431,0.023
2454702.49567,17.267,0.02,15.285,0.022
2454703.55943,17.234,0.02,15.286,0.02
2454708.5253,17.127,0.018,15.056,0.017
2454710.5337,17.187,0.022,15.187,0.022
2454720.48676,17.181,0.029,15.016,0.017
2454722.47913,17.086,0.031,15.01,0.016
2454725.50191,17.161,0.038,15.238,0.019
2454736.47748,17.244,0.083,15.594,0.028
2454738.48109,17.287,0.068,15.554,0.025
2454845.83031,null,null,14.572,0.012
2454847.82498,null,null,14.891,0.014
2454854.85819,16.915,0.017,null,null
2454856.83246,null,null,null,null
2454858.86225,16.779,0.015,null,null
2454860.80056,null,null,null,null
2454866.79448,17.295,0.024,null,null
2454870.82698,17.232,0.032,null,null
2454871.79403,null,null,null,null
2454872.78813,null,null,null,null
2454874.78901,17.253,0.024,15.249,0.016
2454875.76319,null,null,15.095,0.015
2454876.79405,null,null,15.097,0.015
2454879.75574,null,null,15.225,0.015
2454882.85871,null,null,15.208,0.017
2454886.76298,null,null,15.313,0.017
2454888.77191,null,null,15.106,0.016
2454890.80301,17.158,0.018,15.217,0.017
2454892.7831,17.21,0.018,15.299,0.017
2454894.8046,null,null,15.348,0.018
2454896.80364,null,null,15.331,0.017
2454900.80997,16.951,0.03,null,null
2454902.73504,16.841,0.035,14.583,0.012
2454904.82583,16.864,0.03,14.766,0.012
2454906.78098,16.532,0.017,null,null
2454908.80742,16.773,0.017,14.388,0.011
2454910.79166,16.533,0.013,null,null
2454912.79207,15.254,0.009,13.638,0.007
2454914.72987,16.299,0.011,13.59,0.007
2454917.79677,15.736,0.007,13.036,0.005
2454918.74582,16.22,0.01,13.628,0.007
2454919.63389,16.346,0.012,13.755,0.008
2454920.63069,16.393,0.013,13.793,0.008
2454921.82591,16.377,0.01,13.699,0.007
2454922.73373,16.222,0.009,13.577,0.007
2454926.68903,15.967,0.004,13.202,0.006
2454927.79263,15.662,0.003,12.957,0.005
2454928.77692,16.067,0.005,13.457,0.006
2454929.73002,15.706,0.005,null,null
2454930.84991,15.68,0.006,12.92,0.005
2454931.73921,15.625,0.006,12.872,0.005
2454932.76205,15.72,0.006,12.976,0.005
2454933.76279,15.707,0.005,12.924,0.005
2454934.79531,15.699,0.004,12.892,0.005
2454935.79588,15.976,0.005,13.271,0.006
2454936.74298,16.249,0.005,13.551,0.007
2454938.73605,16.224,0.007,13.457,0.007
2454939.74969,16.171,0.004,13.533,0.007
2454940.66372,16.403,0.005,13.758,0.008
2454941.76594,16.343,0.008,13.721,0.008
2454942.75357,16.474,0.005,13.767,0.007
2454943.69347,16.552,0.005,13.866,0.008
2454944.69286,16.506,0.005,13.9,0.008
2454946.75957,16.265,0.004,13.454,0.006
2454947.70992,16.376,0.004,13.497,0.006
2454948.73649,16.476,0.005,13.815,0.007
2454949.77108,16.505,0.005,14.012,0.008
2454950.77463,16.576,0.005,14.04,0.008
2454951.75347,16.443,0.005,13.892,0.008
2454952.60891,16.506,0.005,13.905,0.008
2454953.6395,16.529,0.005,14.061,0.008
2454954.74249,16.548,0.005,14.145,0.008
2454955.7064,16.5,0.009,14.049,0.01
2454956.63528,16.481,0.007,13.91,0.008
2454959.72458,15.774,0.006,13.143,0.005
2454961.74101,14.04,0.002,11.553,0.002
2454962.74619,14.653,0.002,12.271,0.003
2454964.68074,15.882,0.004,13.519,0.006
2454965.75493,16.452,0.006,13.91,0.008
2454966.65172,16.625,0.007,14.097,0.01
2454967.75581,16.573,0.006,14.083,0.009
2454968.70587,16.473,0.005,13.978,0.008
2454969.71114,16.649,0.005,14.241,0.01
2454970.71132,16.68,0.005,14.348,0.01
2454972.76977,16.627,0.005,14.196,0.01
2454973.75466,16.575,0.005,14.236,0.009
2454974.69662,16.489,0.005,14.176,0.009
2454975.64892,16.567,0.005,14.223,0.01
2454976.72893,16.485,0.005,14.138,0.009
2454978.71952,16.31,0.055,14.703,0.108
2454980.65149,16.327,0.005,13.6,0.009
2454982.67077,16.044,0.004,13.312,0.006
2454983.70481,16.101,0.01,13.275,0.015
2454985.69853,16.547,0.008,14.06,0.008
2454986.61173,16.641,0.016,14.191,0.011
2454988.62202,16.633,0.011,14.22,0.009
2454989.62882,16.575,0.013,14.093,0.014
2454990.71169,16.626,0.013,14.273,0.009
2454991.68428,16.664,0.012,14.334,0.011
2454992.68582,16.647,0.008,14.341,0.01
2454993.66153,16.61,0.006,14.397,0.009
2454994.64896,16.625,0.007,14.306,0.01
2454995.65875,16.38,0.005,13.98,0.008
2454996.60925,16.496,0.01,14.247,0.027
2454998.51762,16.795,0.006,14.495,0.013
2455004.60083,16.951,0.111,15.348,0.186
2455007.50364,16.869,0.006,14.699,0.013
2455010.53055,16.836,0.007,null,null
2455012.5753,16.731,0.007,null,null
2455013.45971,16.669,0.009,null,null
2455018.56477,16.79,0.012,null,null
2455019.56753,16.825,0.011,14.695,0.012
2455020.57849,16.811,0.012,14.711,0.012
2455021.57357,16.792,0.009,14.624,0.012
2455022.55608,null,null,14.652,0.012
2455023.52623,16.84,0.006,null,null
2455028.64478,16.861,0.007,14.898,0.015
2455029.56021,16.884,0.006,14.846,0.014
2455030.55526,16.881,0.006,14.769,0.013
2455031.63088,16.849,0.006,14.742,0.013
2455035.50435,16.838,0.006,14.731,0.013
2455036.58748,16.834,0.006,14.753,0.014
2455037.55466,16.774,0.006,14.737,0.012
2455038.49203,16.82,0.006,14.734,0.013
2455041.55175,16.839,0.008,14.718,0.013
2455045.59022,16.839,0.012,14.779,0.013
2455046.47529,16.835,0.008,14.796,0.013
2455048.51802,16.841,0.011,14.756,0.013
2455053.55876,16.783,0.01,14.655,0.023
2455057.53684,16.773,0.006,14.609,0.011
2455058.52435,16.764,0.007,14.598,0.014
2455067.49952,16.753,0.006,14.544,0.012
2455070.52425,16.809,0.009,14.531,0.012
2455072.53554,16.874,0.011,14.598,0.013
2455075.48961,16.926,0.011,14.814,0.015
2455084.48581,16.938,0.008,14.993,0.019
2455088.48063,16.94,0.011,14.807,0.016
2455092.48566,16.966,0.011,14.992,0.022
2455096.47347,17.069,0.045,15.006,0.019
2455098.47364,16.978,0.044,null,null
2455100.48165,16.994,0.024,15.01,0.018
2455103.48053,17.004,0.067,15.089,0.028
2455105.48563,16.905,0.028,15.007,0.017
2455222.83961,16.992,0.008,14.906,0.016
2455224.84773,16.968,0.009,14.881,0.018
2455225.86035,16.859,0.013,14.893,0.014
2455228.85761,17.055,0.022,14.935,0.016
2455230.82909,16.949,0.014,14.786,0.014
2455232.78875,16.9,0.015,14.759,0.018
2455234.85608,16.975,0.009,14.902,0.014
2455236.8132,16.926,0.007,14.758,0.021
2455238.77824,16.939,0.007,14.78,0.013
2455239.78911,16.942,0.007,14.835,0.013
2455241.81419,16.968,0.007,14.874,0.013
2455242.80162,16.975,0.007,14.97,0.013
2455243.8029,17.06,0.007,15.018,0.015
2455245.78716,null,null,15.045,0.015
2455248.79126,17.057,0.008,14.961,0.015
2455249.85079,17.035,0.007,14.991,0.014
2455251.87356,17.052,0.007,14.974,0.014
2455253.75647,17.086,0.014,15.099,0.019
2455254.76294,17.077,0.017,15.066,0.015
2455255.80758,17.032,0.017,15.065,0.015
2455256.81485,17.081,0.02,15.076,0.016
2455258.81373,17.017,0.018,15.043,0.016
2455261.8353,17.097,0.012,15.216,0.017
2455263.77431,17.123,0.009,null,null
2455265.78396,17.11,0.007,15.101,0.014
2455267.79138,17.087,0.007,15.134,0.014
2455268.72772,17.104,0.008,15.079,0.015
2455269.76567,17.096,0.008,15.159,0.016
2455271.78938,17.047,0.007,15.021,0.014
2455272.7597,17.054,0.007,14.935,0.013
2455274.81241,17.055,0.007,14.955,0.015
2455275.83021,17.063,0.007,14.97,0.015
2455279.83906,17.074,0.008,14.939,0.015
2455281.7241,17.104,0.011,15.124,0.016
2455282.80248,17.094,0.01,15.025,0.015
2455284.76287,17.037,0.017,14.982,0.015
2455286.70275,16.978,0.018,14.872,0.014
2455289.72457,17.076,0.015,15.074,0.016
2455290.82874,17.014,0.011,14.856,0.014
2455293.72422,16.977,0.007,14.859,0.014
2455294.74789,17.112,0.007,15.034,0.014
2455295.69902,16.957,0.007,14.988,0.015
2455297.70206,17.008,0.007,14.815,0.012
2455298.71947,17.078,0.007,14.97,0.013
2455300.66767,17.027,0.007,14.97,0.015
2455302.59122,17.135,0.011,14.943,0.025
2455305.64227,17.013,0.007,14.703,0.013
2455307.63019,16.918,0.008,14.85,0.014
2455309.5772,17.042,0.011,14.821,0.014
2455312.57995,16.963,0.021,14.643,0.013
2455314.58678,16.96,0.026,14.677,0.015
2455316.74002,17.114,0.02,14.935,0.016
2455317.71446,17.038,0.018,14.876,0.017
2455320.64877,17.083,0.009,14.84,0.015
2455323.58169,17.081,0.007,14.955,0.015
2455325.68895,17.004,0.007,14.78,0.013
2455327.59258,16.895,0.007,14.7,0.012
2455339.63345,16.932,0.01,null,null
2455340.58954,16.62,0.011,14.322,0.012
2455343.65689,16.679,0.017,14.462,0.012
2455346.69111,16.886,0.012,14.767,0.017
2455349.60892,16.774,0.014,14.666,0.021
2455351.654,16.903,0.006,14.836,0.012
2455353.60605,17.027,0.007,15.002,0.014
2455356.61286,17.091,0.007,15.123,0.015
2455359.7122,17.089,0.007,15.084,0.018
2455367.55129,17.152,0.158,15.196,0.138
2455368.52337,17.099,0.017,null,null
2455372.62255,17.043,0.023,15.203,0.024
2455375.52984,17.062,0.012,15.171,0.017
2455377.58998,17.041,0.009,15.118,0.016
2455380.50828,17.041,0.007,15.242,0.017
2455385.65512,17.033,0.007,null,null
2455388.5141,null,null,15.152,0.018
2455391.51159,16.978,0.006,15.073,0.015
2455393.5341,16.979,0.008,15.267,0.023
2455400.60696,16.955,0.015,14.912,0.015
2455403.56167,16.877,0.014,14.877,0.015
2455406.55032,16.87,0.008,14.784,0.014
2455410.56866,16.872,0.006,14.812,0.014
2455412.51857,16.932,0.007,14.991,0.016
2455414.52703,16.839,0.006,14.839,0.017
2455417.57191,16.97,0.023,15.302,0.044
2455423.51996,16.888,0.007,14.865,0.015
2455426.51017,16.906,0.011,14.934,0.015
2455428.53415,16.971,0.012,14.906,0.016
2455431.57297,16.909,0.018,14.759,0.016
2455434.4948,16.916,0.009,null,null
2455436.48524,16.945,0.007,null,null
2455439.49368,16.914,0.007,14.877,0.017
2455446.46426,16.941,0.047,14.931,0.02
2455451.5057,16.929,0.096,15.083,0.115
2455454.49462,17.01,0.028,null,null
2455457.49777,16.979,0.02,14.971,0.021
2455464.48071,16.772,0.019,14.288,0.012
2455579.84438,16.692,0.021,14.122,0.019
2455582.87947,16.631,0.052,14.026,0.013
2455585.85968,16.537,0.029,13.585,0.012
2455589.82935,16.864,0.021,14.281,0.014
2455592.84532,17.007,0.014,14.688,0.019
2455595.84962,16.83,0.014,14.228,0.016
2455604.89607,16.844,0.047,14.865,0.024
2455607.88505,17.124,0.019,14.902,0.024
2455608.8321,17.068,0.026,14.783,0.022
2455610.86284,17.187,0.058,null,null
2455613.87006,17.063,0.04,14.929,0.027
2455617.8474,16.484,0.014,13.82,0.012
2455619.84283,16.933,0.015,14.444,0.017
2455620.82484,16.87,0.014,14.491,0.02
2455622.80712,16.793,0.012,14.52,0.025
2455623.82744,17.007,0.019,14.939,0.029
2455624.83671,17.087,0.016,14.89,0.03
2455625.88028,17.151,0.016,15.045,0.027
2455629.83345,17.14,0.015,14.924,0.027
2455632.82064,17.226,0.015,15.275,0.038
2455636.75674,17.302,0.077,15.168,0.036
2455640.77708,17.232,0.068,15.154,0.033
2455645.79697,17.227,0.03,15.23,0.037
2455650.66609,17.289,0.019,15.258,0.04
2455653.69284,16.894,0.012,15.325,0.035
2455656.73806,17.28,0.017,15.227,0.033
2455658.72457,17.231,0.018,15.266,0.037
2455663.68624,null,null,15.063,0.058
2455665.68484,17.153,0.029,15.263,0.03
2455669.67141,17.025,0.081,15.002,0.029
2455672.5992,16.819,0.043,14.564,0.026
2455673.71091,17.038,0.032,14.936,0.03
2455674.70349,17.044,0.028,14.93,0.036
2455676.68406,16.958,0.016,14.781,0.025
2455679.55704,17.127,0.022,14.871,0.032
2455680.68559,17.15,0.019,15.07,0.032
2455681.59705,17.138,0.019,15.179,0.042
2455682.58906,17.148,0.02,15.021,0.043
2455683.62015,17.055,0.018,14.936,0.03
2455684.675,17.149,0.019,14.844,0.029
2455685.65425,17.07,0.017,14.884,0.028
2455686.68421,17.018,0.017,14.837,0.03
2455689.69435,16.897,0.113,null,null
2455692.70287,17.012,0.017,14.788,0.028
2455695.60118,17.223,0.05,15.192,0.041
2455697.67659,17.391,0.103,15.092,0.038
2455701.57809,17.21,0.047,15.138,0.039
2455706.61673,17.182,0.019,15.073,0.029
2455711.54529,17.117,0.018,15.065,0.038
2455715.53053,17.257,0.05,null,null
2455723.49812,17.101,0.045,14.849,0.037
2455736.61599,17.071,0.016,14.95,0.034
2455739.49578,16.778,0.013,14.535,0.027
2455740.64776,16.903,0.015,14.77,0.027
2455742.51531,16.983,0.016,null,null
2455744.6201,16.716,0.013,14.552,0.023
2455749.63598,16.804,0.017,14.456,0.024
2455754.5629,16.945,0.056,14.571,0.039
2455756.58657,16.948,0.05,14.55,0.028
2455757.57252,16.896,0.02,14.651,0.028
2455760.5781,16.901,0.027,14.64,0.029
2455762.6116,16.856,0.019,14.757,0.027
2455764.59993,16.782,0.014,14.544,0.024
2455765.60512,16.648,0.013,14.609,0.031
2455766.53382,16.92,0.015,14.789,0.031
2455767.53342,16.768,0.014,14.611,0.027
2455768.61976,16.557,0.012,14.314,0.023
2455769.52544,16.697,0.013,14.517,0.027
2455770.57211,16.726,0.014,14.549,0.032
2455776.58424,17.032,0.018,14.87,0.042
2455777.56652,16.992,0.023,14.697,0.043
2455783.52813,16.831,0.039,14.776,0.031
2455784.56147,16.708,0.035,14.269,0.025
2455787.52631,16.654,0.034,14.292,0.024
2455788.5765,17.026,0.059,14.452,0.043
2455790.54628,16.903,0.019,14.556,0.029
2455794.48829,16.951,0.017,14.931,0.041
2455796.56034,null,null,14.87,0.038
2455798.53719,17.005,0.019,15.251,0.07
2455802.51989,16.953,0.017,14.808,0.043
2455804.52087,17.022,0.021,14.824,0.04
2455805.49905,16.974,0.019,14.813,0.033
2455809.48885,17.064,0.036,15.142,0.048
2455810.53011,17.11,0.046,14.673,0.037
2455811.51985,17.094,0.044,15.2,0.052
2455812.49857,17.072,0.045,15.226,0.062
2455813.51531,17.014,0.052,15.085,0.047
2455818.49816,17.079,0.029,14.671,0.039
2455825.49017,16.92,0.025,14.789,0.047
2455827.4909,16.953,0.029,14.472,0.046
2455948.89103,16.734,0.201,14.511,0.014
2455955.81335,16.86,0.009,14.627,0.013
2455959.79818,16.774,0.008,14.547,0.013
2455962.82988,16.76,0.008,14.447,0.012
2455963.82587,16.715,0.012,14.325,0.011
2455964.7858,16.726,0.02,14.48,0.013
2455966.81937,16.799,0.016,14.524,0.011
2455967.79571,16.816,0.019,14.572,0.014
2455969.80684,16.62,0.017,14.226,0.011
2455970.78832,16.601,0.016,14.246,0.011
2455972.81946,16.67,0.011,14.33,0.011
2455973.80455,16.512,0.009,14.045,0.009
2455974.81763,16.596,0.008,14.227,0.01
2455975.81129,16.555,0.007,13.935,0.009
2455976.82445,16.623,0.007,14.22,0.01
2455977.79038,16.584,0.007,14.296,0.012
2455978.81546,16.543,0.007,14.198,0.011
2455979.79694,16.338,0.006,13.904,0.009
2455980.8674,null,null,null,null
2455992.80165,16.727,0.009,14.36,0.01
2455993.82127,16.73,0.01,14.53,0.01
2455994.72104,16.78,0.022,null,null
2455995.78916,16.737,0.016,14.393,0.009
2455996.74696,16.776,0.024,14.405,0.012
2455997.8015,16.753,0.015,14.537,0.012
2455999.80857,16.651,0.01,14.376,0.011
2456000.80407,16.624,0.009,14.34,0.01
2456001.78435,16.684,0.009,14.392,0.012
2456002.81678,16.659,0.008,14.349,0.011
2456003.78605,16.792,0.008,14.474,0.012
2456004.73219,16.847,0.008,14.731,0.015
2456005.84772,16.887,0.008,14.769,0.013
2456006.69753,16.917,0.009,14.861,0.015
2456007.76235,16.906,0.008,14.86,0.014
2456008.76866,16.911,0.008,14.68,0.014
2456009.74084,16.918,0.008,14.938,0.016
2456010.71583,16.89,0.008,14.873,0.017
2456011.72869,16.905,0.008,14.833,0.017
2456012.69651,16.907,0.008,14.86,0.015
2456014.67067,16.924,0.009,14.877,0.015
2456015.7366,16.919,0.008,14.973,0.02
2456016.82782,16.909,0.009,14.919,0.017
2456019.83707,16.858,0.008,14.888,0.014
2456022.77876,16.873,0.016,14.655,0.013
2456029.77778,16.772,0.01,14.672,0.013
2456032.80588,16.672,0.008,14.284,0.011
2456035.62859,16.764,0.008,14.46,0.012
2456040.66892,16.644,0.007,14.368,0.011
2456047.77164,16.837,0.008,14.68,0.013
2456050.61314,16.86,0.016,14.77,0.015
2456054.71734,16.648,0.044,14.413,0.02
2456057.56982,16.78,0.008,14.54,0.013
2456060.64835,16.814,0.008,14.897,0.013
2456061.62079,16.779,0.008,14.67,0.015
2456064.63775,16.832,0.016,14.698,0.029
2456067.60758,16.833,0.008,14.762,0.014
2456070.70574,16.854,0.008,14.844,0.016
2456078.60053,16.84,0.012,null,null
2456080.67817,16.86,0.021,14.746,0.016
2456083.72386,16.882,0.025,14.719,0.016
2456086.63853,16.824,0.011,14.756,0.014
2456088.6243,16.872,0.008,null,null
2456104.59422,16.882,0.009,14.996,0.018
2456105.54178,null,null,null,null
2456109.62537,16.925,0.02,14.997,0.017
2456113.67331,16.932,0.02,14.973,0.019
2456116.59868,16.843,0.009,14.981,0.016
2456119.66404,16.863,0.009,14.966,0.017
2456123.5684,16.794,0.009,14.998,0.018
2456127.56928,16.881,0.008,14.941,0.017
2456130.55751,16.837,0.008,14.853,0.017
2456137.65981,16.882,0.024,14.88,0.016
2456141.53931,16.855,0.018,14.869,0.016
2456147.53277,16.826,0.009,14.864,0.017
2456150.60861,16.85,0.01,14.928,0.018
2456154.54135,16.793,0.008,14.805,0.016
2456160.51028,16.744,0.008,null,null
2456166.54963,16.589,0.014,14.444,0.013
2456171.52344,16.573,0.016,14.434,0.013
2456176.52551,16.614,0.009,14.467,0.015
2456181.52059,16.606,0.008,14.329,0.013
2456339.79504,16.742,0.008,14.628,0.012
2456372.81992,16.989,0.009,14.918,0.014
2456382.80268,null,null,14.561,0.013
2456387.78196,17,0.009,14.933,0.014
2456397.65157,16.962,0.01,14.94,0.016
2456412.72485,16.906,0.024,14.84,0.023
2456427.64621,16.957,0.009,14.849,0.017
2456433.75592,16.988,0.016,14.837,0.015
2456444.72139,16.861,0.014,14.804,0.031
2456455.57226,16.938,0.009,14.977,0.016
2456465.64001,16.955,0.026,15.06,0.018
2456467.73375,17.009,0.036,15.07,0.019
2456469.63275,16.977,0.015,15.056,0.018
2456475.69497,16.964,0.01,14.985,0.02
2456488.56641,16.935,0.01,15.004,0.017
2456498.59758,16.936,0.017,14.935,0.017
2456547.49768,16.772,0.014,14.725,0.02
2456552.48052,16.645,0.022,14.657,0.02
2456555.50128,15.494,0.009,12.967,0.006
2456556.48276,15.637,0.008,13.186,0.007
2456558.47795,16.186,0.019,13.831,0.01
2456559.48201,16.408,0.017,14.036,0.013
2456676.85091,16.741,0.02,14.686,0.018
2456678.8793,16.75,0.028,14.638,0.015
2456680.87324,16.789,0.023,14.684,0.021
2456682.86915,16.517,0.015,null,null
2456683.8204,16.473,0.012,14.307,0.014
2456684.85206,16.662,0.011,14.453,0.015
2456686.83813,16.677,0.011,14.551,0.017
2456687.82048,16.604,0.01,14.291,0.013
2456691.82364,16.682,0.009,14.517,0.015
2456692.88104,16.686,0.011,14.638,0.014
2456693.82954,16.646,0.009,14.556,0.015
2456697.84204,16.7,0.009,14.675,0.015
2456697.84204,16.7,0.009,14.675,0.015
2456700.86936,16.772,0.009,14.804,0.017
2456701.81792,16.788,0.017,14.756,0.018
2456702.83873,16.682,0.017,14.673,0.016
2456703.87121,16.62,0.019,14.655,0.016
2456704.82621,16.728,0.019,14.823,0.019
2456705.78297,16.81,0.025,14.822,0.023
2456706.80028,16.763,0.019,14.673,0.017
2456707.8164,16.745,0.02,14.684,0.018
2456708.7663,16.763,0.024,14.795,0.02
2456713.81089,16.608,0.009,14.455,0.014
2456717.83922,16.612,0.008,14.397,0.012
2456719.79205,16.59,0.008,14.364,0.012
2456725.76367,16.683,0.008,14.579,0.014
2456729.76394,16.731,0.011,14.698,0.015
2456733.71969,16.726,0.021,14.694,0.015
2456740.82177,16.784,0.009,14.784,0.015
2456742.7813,16.518,0.007,14.668,0.013
2456747.73154,16.727,0.007,14.7,0.015
2456752.72635,16.717,0.007,14.604,0.014
2456754.68645,16.724,0.009,14.548,0.017
2456755.74008,16.531,0.008,14.702,0.018
2456758.77408,16.704,0.012,14.664,0.019
2456759.80898,16.619,0.009,14.486,0.013
2456761.75354,16.658,0.015,14.539,0.013
2456762.83818,null,null,14.499,0.013
2456763.79486,16.731,0.023,14.642,0.014
2456766.75934,16.74,0.012,14.782,0.015
2456767.72918,16.769,0.01,14.743,0.014
2456768.68353,null,null,14.777,0.015
2456769.77124,16.788,0.008,14.8,0.017
2456770.60654,16.824,0.01,14.805,0.02
2456771.82233,16.727,0.008,14.805,0.017
2456772.74967,16.706,0.007,14.585,0.013
2456773.71352,16.686,0.007,null,null
2456775.69727,16.721,0.007,null,null
2456776.58385,16.61,0.008,null,null
2456777.65409,null,null,null,null
2456778.77236,16.685,0.038,null,null
2456779.63015,16.695,0.009,null,null
2456784.55643,16.667,0.01,14.669,0.017
2456785.66618,16.672,0.01,14.539,0.015
2456786.57881,16.463,0.009,14.096,0.01
2456787.60489,16.602,0.118,null,null
2456788.56458,16.248,0.09,14.293,0.07
2456789.59246,16.416,0.013,14.239,0.012
2456790.62025,16.587,0.019,14.492,0.014
2456794.76042,16.619,0.014,14.516,0.016
2456795.70681,16.554,0.01,14.355,0.012
2456797.63667,16.324,0.008,14.001,0.013
2456801.6598,16.38,0.006,14.132,0.013
2456802.79554,16.455,0.007,14.228,0.015
2456803.73964,16.55,0.012,14.277,0.027
2456804.62176,16.394,0.006,14.229,0.011
2456805.69816,16.549,0.006,14.404,0.011
2456809.64071,16.639,0.006,14.507,0.014
2456810.53014,16.615,0.007,14.429,0.012
2456811.58831,16.616,0.006,14.576,0.013
2456816.7625,16.623,0.013,14.528,0.02
2456827.49917,16.712,0.007,14.735,0.016
2456829.51556,16.74,0.017,14.48,0.056
2456831.52183,16.688,0.007,null,null
2456832.68571,16.73,0.01,14.736,0.025
2456834.60398,16.655,0.007,14.567,0.017
2456836.57857,16.735,0.007,14.805,0.015
2456838.53363,16.696,0.007,14.58,0.013
2456841.57376,16.703,0.032,14.684,0.042
2456842.55665,16.677,0.024,14.578,0.04
2456841.57376,16.703,0.032,14.684,0.042
2456842.55665,16.677,0.024,14.578,0.04
2456848.65027,16.706,0.019,14.692,0.015
2456851.60865,16.699,0.017,14.699,0.015
2456852.59453,16.646,0.012,14.531,0.014
2456855.65165,16.56,0.009,14.475,0.015
2456856.6258,16.626,0.007,14.469,0.014
2456871.52063,16.401,0.007,14.07,0.012
2456872.56927,16.474,0.011,14.171,0.013
2456873.57226,16.502,0.011,14.221,0.012
2456874.52522,16.478,0.012,14.194,0.018
2456876.51703,16.441,0.011,14.023,0.01
2456877.51707,16.355,0.01,13.918,0.01
2456878.53428,16.459,0.013,13.95,0.011
2456879.52676,16.525,0.014,14.017,0.014
2456882.49977,16.548,0.006,14.28,0.011
2456883.4765,16.609,0.013,14.426,0.024
2456864.55677,16.592,0.007,14.403,0.012
2456890.49666,16.649,0.007,14.438,0.013
2456891.52299,16.646,0.007,14.46,0.013
2456894.5315,16.729,0.008,14.722,0.021
2456908.48378,16.58,0.04,14.655,0.035
2456916.49159,16.509,0.016,14.515,0.033
2457043.81352,17.011,0.011,14.89,0.018
2457044.86782,null,null,14.981,0.016
2457050.85888,16.731,0.008,14.431,0.012
2457052.83714,15.329,0.003,14.602,0.013
2457053.83173,16.905,0.009,14.791,0.016
2457054.81827,16.771,0.013,14.546,0.013
2457055.82756,16.562,0.014,14.28,0.011
2457056.80709,16.563,0.016,14.171,0.01
2457057.7989,16.638,0.02,14.37,0.011
2457059.8386,16.823,0.017,14.604,0.013
2457060.83839,16.883,0.026,14.592,0.023
2457061.83952,16.822,0.016,14.585,0.015
2457063.83043,null,null,null,null
2457069.87944,16.787,0.008,14.388,0.012
2457071.81617,16.912,0.008,14.639,0.013
2457072.8075,16.87,0.008,14.603,0.014
2457077.76328,16.974,0.01,14.849,0.017
2457080.81121,16.957,0.009,14.723,0.016
2457083.79171,17.005,0.013,14.85,0.016
2457084.82019,16.972,0.013,14.795,0.015
2457085.8251,17.024,0.016,null,null
2457086.7537,16.947,0.022,14.95,0.017
2457087.80977,16.968,0.021,14.777,0.016
2457090.81132,16.966,0.021,14.766,0.015
2457091.81511,16.936,0.023,14.713,0.017
2457094.73879,16.925,0.013,14.662,0.015
2457098.77301,16.821,0.008,14.609,0.014
2457101.75121,16.921,0.01,14.815,0.018
2457104.77877,16.886,0.018,14.505,0.036
2457109.76985,null,null,14.639,0.015
2457110.74869,null,null,14.433,0.013
2457111.71652,16.731,0.011,14.539,0.014
2457112.83599,16.616,0.007,14.349,0.012
2457113.77994,16.577,0.01,14.196,0.01
2457114.73579,16.261,0.01,13.776,0.009
2457115.72483,16.477,0.014,14.075,0.01
2457116.64859,16.629,0.03,14.32,0.014
2457118.75467,16.552,0.02,14.181,0.013
2457122.64945,16.449,0.009,14.051,0.01
2457125.76544,15.918,0.005,13.125,0.006
2457126.75733,15.973,0.005,13.268,0.006
2457127.75234,15.921,0.012,13.396,0.014
2457129.72514,16.245,0.005,13.709,0.008
2457130.64958,16.305,0.007,13.719,0.009
2457131.75698,16.057,0.005,13.466,0.007
2457133.79411,15.778,0.004,13.069,0.006
2457135.72939,15.874,0.004,13.157,0.006
2457136.73357,15.788,0.004,13.099,0.006
2457137.64555,15.68,0.004,13.005,0.005
2457138.70283,15.696,0.004,13.008,0.006
2457140.69011,15.87,0.005,13.393,0.007
2457141.67543,15.806,0.006,13.294,0.007
2457143.64782,16.199,0.009,13.74,0.008
2457144.57213,null,null,13.545,0.049
2457145.58873,15.998,0.016,13.471,0.008
2457147.70837,null,null,13.377,0.007
2457150.63632,16.31,0.009,13.834,0.009
2457151.7038,16.294,0.008,13.825,0.009
2457152.70735,16.103,0.077,13.676,0.028
2457154.61255,16.052,0.006,13.533,0.008
2457155.5808,15.896,0.005,13.297,0.007
2457156.69419,15.9,0.004,13.288,0.006
2457157.57942,15.576,0.004,13.047,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01
2457135.72939,15.874,0.004,13.157,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01
2457135.72939,15.874,0.004,13.157,0.006
2457158.63753,15.573,0.004,13.127,0.006
2457164.56343,15.675,0.005,13.116,0.008
2457165.56934,15.49,0.007,12.896,0.01

